"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hmgb2",5.70769064373716e-67,3.80476921852354,0.775,0.213,8.2150791435309e-63,"0","Hmgb2"
"Phgdh",2.10132500546088e-65,3.64037011387545,0.574,0.05,3.02443708035984e-61,"0","Phgdh"
"Fabp7",4.66487702871052e-61,3.24579543004047,0.871,0.403,6.71415750742305e-57,"0","Fabp7"
"Dbi",6.04512586017137e-61,2.50272621421235,0.89,0.44,8.70074965054465e-57,"0","Dbi"
"H2afz",4.11997692303311e-55,2.07742818789178,0.933,0.803,5.92988278532156e-51,"0","H2afz"
"Mt3",1.59529902129383e-51,3.32933836251648,0.641,0.154,2.29611388134822e-47,"0","Mt3"
"Vim",8.82061326054771e-50,2.50862104390097,0.732,0.224,1.26955086659063e-45,"0","Vim"
"Aldoc",7.65613001229525e-49,3.42600078274852,0.493,0.059,1.10194679266966e-44,"0","Aldoc"
"Cdk1",9.16364569896395e-45,5.80512083304651,0.33,0.01,1.31892352545188e-40,"0","Cdk1"
"2810417H13Rik",1.24565588371146e-44,5.09651879965464,0.378,0.026,1.7928725134259e-40,"0","2810417H13Rik"
"Pbk",4.75551284585631e-43,3.88717332466025,0.354,0.019,6.84460963904099e-39,"0","Pbk"
"Ddah1",1.01648634417692e-40,2.93206603629338,0.464,0.07,1.46302879517384e-36,"0","Ddah1"
"Tuba1b",1.5412184464819e-38,2.4215825832264,0.828,0.56,2.2182757100214e-34,"0","Tuba1b"
"Cdca3",3.07537744935127e-34,5.64629484217423,0.282,0.016,4.42639076285128e-30,"0","Cdca3"
"Ube2c",5.13853947138883e-34,4.02110044833408,0.364,0.048,7.39589986116994e-30,"0","Ube2c"
"Mt1",5.86318127585454e-34,2.70273208974517,0.402,0.064,8.43887681033744e-30,"0","Mt1"
"Lockd",1.11291176115043e-33,4.12208147956482,0.349,0.043,1.60181389782381e-29,"0","Lockd"
"Sparc",4.55847073563399e-32,3.38113016421221,0.268,0.014,6.56100692979799e-28,"0","Sparc"
"Psat1",3.70353030284376e-31,2.94154553046142,0.344,0.046,5.33049116488302e-27,"0","Psat1"
"Ppia",3.9567225145327e-31,0.847620184324349,0.962,0.93,5.69491071516691e-27,"0","Ppia"
"Ndrg2",5.69849068837595e-29,2.49010656393693,0.435,0.107,8.20183764777951e-25,"0","Ndrg2"
"1500015O10Rik",7.0682805593328e-29,4.28315489367188,0.278,0.027,1.01733762090477e-24,"0","1500015O10Rik"
"Cks2",2.64879391828952e-28,3.75774756119624,0.34,0.056,3.81240908659411e-24,"0","Cks2"
"Cdca8",5.72553087198895e-28,4.42610851159621,0.263,0.024,8.2407565840537e-24,"0","Cdca8"
"Mfge8",5.81901822100255e-28,4.91363605876409,0.258,0.022,8.37531292548897e-24,"0","Mfge8"
"Hes1",8.03529148761957e-28,3.29836001700056,0.254,0.019,1.15651950381308e-23,"0","Hes1"
"Ran",1.5390643762113e-27,1.19853097875858,0.871,0.794,2.21517535668092e-23,"0","Ran"
"Mt2",8.09683127154701e-27,2.35017097905745,0.321,0.048,1.16537692491376e-22,"0","Mt2"
"Apoe",9.82228293084916e-26,3.8813774091773,0.297,0.043,1.41372118223712e-21,"0","Apoe"
"Ckb",1.16117409879112e-25,1.38107139565528,0.789,0.624,1.67127788039006e-21,"0","Ckb"
"Gng5",2.26694134767069e-25,1.87909756368445,0.632,0.331,3.26280868170243e-21,"0","Gng5"
"Plpp3",1.02615252818782e-24,4.03652264956354,0.258,0.03,1.47694133382073e-20,"0","Plpp3"
"Rplp1",2.54127674043552e-24,0.766184806583949,0.938,0.925,3.65765961250884e-20,"0","Rplp1"
"E130114P18Rik",3.73224335404981e-24,2.65633830440829,0.282,0.04,5.37181785948389e-20,"0","E130114P18Rik"
"H2afv",1.93047968650518e-23,1.54622025335705,0.785,0.661,2.7785394127869e-19,"0","H2afv"
"Hmgn2",4.62858499435231e-23,1.64834209756205,0.737,0.542,6.66192238237127e-19,"0","Hmgn2"
"Pea15a",8.22470500642642e-23,2.58543954468357,0.507,0.222,1.18378179157496e-18,"0","Pea15a"
"Rrm2",1.98228491263785e-22,3.57564310613287,0.278,0.046,2.85310267475966e-18,"0","Rrm2"
"Rps2",4.18645750111779e-22,0.676649026215097,0.938,0.917,6.02556828135884e-18,"0","Rps2"
"Rpl14",6.35989212102435e-22,0.693406079783739,0.928,0.904,9.15379272979035e-18,"0","Rpl14"
"Fgfbp3",4.43072762501454e-20,3.49478190542581,0.258,0.046,6.37714627068343e-16,"0","Fgfbp3"
"Oat",2.17289219831288e-19,2.67230028587209,0.287,0.061,3.12744374103172e-15,"0","Oat"
"Ttyh1",2.79472035340344e-19,2.41484430540467,0.273,0.054,4.02244100465357e-15,"0","Ttyh1"
"Psph",3.62256826778444e-19,2.46738248483482,0.311,0.077,5.21396250782214e-15,"0","Psph"
"Gapdh",4.88458446427447e-19,0.830496816701362,0.866,0.824,7.03038241943024e-15,"0","Gapdh"
"Cks1b",2.00494425151594e-18,2.19151068947425,0.388,0.131,2.88571626120689e-14,"0","Cks1b"
"Ldha",2.27588499405927e-18,1.60063722229542,0.598,0.347,3.27568127194951e-14,"0","Ldha"
"Rpl22l1",4.90017074569531e-18,1.20175671450601,0.766,0.595,7.05281575427925e-14,"0","Rpl22l1"
"Prdx1",1.05140174589647e-17,1.42416982607968,0.617,0.378,1.51328253286879e-13,"0","Prdx1"
"Mif",3.22537255933277e-17,1.05437127978264,0.799,0.739,4.64227872464766e-13,"0","Mif"
"Anp32b",3.73455451074249e-17,1.92614012712036,0.545,0.301,5.37514430731166e-13,"0","Anp32b"
"Rps18",4.08483170135489e-17,0.548843944763609,0.919,0.928,5.87929826776009e-13,"0","Rps18"
"Ptn",5.58432833934758e-16,1.51257515179079,0.665,0.466,8.03752377882298e-12,"0","Ptn"
"Ranbp1",1.43883961413786e-15,1.41289887910228,0.708,0.594,2.07092185662862e-11,"0","Ranbp1"
"Rbm3",4.64228605447335e-15,1.13746782324275,0.761,0.675,6.6816423182035e-11,"0","Rbm3"
"Rpl41",1.47613290696338e-14,0.475435609673237,0.933,0.949,2.12459809299239e-10,"0","Rpl41"
"Eef1d",3.08208023841348e-14,1.64975941341935,0.522,0.304,4.43603808714852e-10,"0","Eef1d"
"2700094K13Rik",1.37297420256938e-13,1.71999579052771,0.603,0.483,1.9761217697581e-09,"0","2700094K13Rik"
"Clic1",1.96443990353653e-13,1.93022142680338,0.383,0.171,2.82741835316013e-09,"0","Clic1"
"Pax6",3.37006573769591e-13,2.1208776862868,0.344,0.133,4.85053561626573e-09,"0","Pax6"
"Cd9",1.56916967714e-12,2.46172520827854,0.273,0.088,2.25850591630761e-08,"0","Cd9"
"Paics",2.35378878440447e-12,1.96477930450718,0.392,0.189,3.38780819739335e-08,"0","Paics"
"Rpl8",2.98969116806757e-12,0.530156103421807,0.89,0.902,4.30306249819965e-08,"0","Rpl8"
"Rps20",4.64326126581135e-12,0.457326263805207,0.88,0.89,6.68304593988227e-08,"0","Rps20"
